file path,transcript
audios/chunk0_0_20200504_211018.wav,bestiario casa tomada
audios/chunk0_0_20200504_211029.wav,dentro del panorama latinoamericano
audios/chunk0_0_20200504_211044.wav,"libro de uso interno una necesidad de sentir el estúpido pasaporte de tapas azules en el bolsillo del saco las llaves del hotel bien seguro en el clavo del tablero miedo la ignorancia, el derrumbamiento"
audios/chunk0_2_20200504_211018.wav,Cuando el cuerpo felizmente la llave estaba puesta de nuestro lado y además coge y el gran cerrojo para más seguridad.
audios/chunk0_2_20200504_211025.wav,"Busca el miedo no lo dejara dijo tristemente el hombre, cómo estará con una soga al cuello en camisa y temblando detrás Gobi de frío."
audios/chunk0_2_20200504_211029.wav,Ya frente a otra taza de café.
audios/chunk0_2_20200504_211044.wav,en la elección de una inconducta en vez de una conducta de una módica indecencia en vez de una decencia gregaria
audios/chunk10_0_20200504_211018.wav,A veces llegamos a creer que era ella la que no nos dijo casarnos.
audios/chunk10_0_20200504_211038.wav,"No nos iba demasiado tiempo sondear los sentimientos de los deudos más inmediatos, los vasitos de caña, el mate dulce y los particulares livianos son puente confidencial antes de medianoche. Estamos seguros podemos actuar sin remordimientos."
audios/chunk11_0_20200504_211018.wav,Irene escucha su dos pretendientes sin mayor motivo
audios/chunk11_1_20200504_211018.wav,Se podía girar a la izquierda justamente antes de la puerta y seguir por un pasillo más estrecho que llevaba la cocina y el baño.
audios/chunk12_2_20200504_211018.wav,Joseba bELLMATIC con mucho cuidado
audios/chunk14_1_20200504_211018.wav,"Casi nunca íbamos más allá de la puerta de roble, salgo para hacer la limpieza, pues es increíble, cómo se junta tierra los muebles."
audios/chunk15_3_20200504_211018.wav,Nos quedamos escuchando los ruidos notando claramente que eran de este lado de la puerta del mueble en la cocina y el baño o en el pasillo mismo donde empezaba el codo casi al lado nuestro.
audios/chunk16_1_20200504_211018.wav,lógico que siempre con claridad
audios/chunk16_2_20200504_211018.wav,Los primeros días nos pareció penoso porque ambos habíamos dejado en la parte tomada.
audios/chunk17_1_20200504_211018.wav,Porque fue simple y sin circunstancias inútiles.
audios/chunk17_2_20200504_211018.wav,Muchas cosas que queríamos.
audios/chunk18_0_20200504_211018.wav,Irene era una chica nacida para no molestar a nadie aparte de su actividad matinal se pasaba el resto del día tejiendo en el sofá de su dormitorio.
audios/chunk18_3_20200504_211018.wav,Tuviste tiempo de caer alguna cosa le pregunté inútilmente.
audios/chunk19_0_20200504_211018.wav,No sé porque te quería tanto. Yo creo que las mujeres dejen cuando han encontrado en esa labor gran pretexto para no hacer nada.
audios/chunk1_0_20200504_211020.wav,tanto especial que vive en la calle Humboldt
audios/chunk1_0_20200504_211044.wav,Esto si llamas si eso se pide así ahora esa mujer va a sonreír.
audios/chunk1_1_20200504_211018.wav,Todos los meses llegaba la plata de los campos y el dinero aumentaba.
audios/chunk1_1_20200504_211020.wav,Definición mayor río Piedra Libre y la familia empezó a atender con arreglo a sus principios y dirección.
audios/chunk1_1_20200504_211029.wav,Traducir lo que dice mando el tiranuelo a su intérprete.
audios/chunk1_2_20200504_211020.wav,"No todos estaban encantados, hay que ser sincero."
audios/chunk1_3_20200504_211020.wav,Jogar a una nena que había quedado tercera en la cola de franqueo y sabía que ya era tarde para que le digan un blog.
audios/chunk20_0_20200504_211018.wav,"Elena no era así decía cosas siempre necesarias tricotas para el invierno medias para mí, mañanitas y chalecos para ella."
audios/chunk20_1_20200504_211018.wav,Y por el pasillo hasta enfrentar la entornada puerta del Google y daba la vuelta al codo que llevaba la cocina cuando escuché algo en el comedor la biblioteca.
audios/chunk24_2_20200504_211018.wav,Y era una cosa más de todo lo que habíamos perdido al otro lado de la casa.
audios/chunk24_3_20200504_211018.wav,"Cómo me quedaba el reloj pulsera, mi que eran las 11 de la noche?"
audios/chunk25_3_20200504_211018.wav,joder con mi brazo la cintura de Irene
audios/chunk26_2_20200504_211018.wav,Lo pensamos bien y se decidió esto mientras yo preparaba el almuerzo Irene cocinaría platos para comer fríos de noche.
audios/chunk27_2_20200504_211018.wav,Nos alegramos porque siempre resulta molesto tener que abandonar los dormitorios al atardecer y ponerse a cocinar. Ahora nos bastaba con la misa en el dormitorio de Irene y la fuente de comida fiambre.
audios/chunk28_3_20200504_211018.wav,Antes de alejarnos tuve lástima.
audios/chunk29_2_20200504_211018.wav,"A veces y le decía, fíjate este punto que se me ha ocurrido no da un dibujo de trébol."
audios/chunk29_3_20200504_211018.wav,cerrajería en la puerta de entrada y tire la llave a la alcantarilla
audios/chunk2_0_20200504_211029.wav,Son muy importantes porque usted nunca le van a salir bien en el momento y en cambio le conviene decir las en el dúo trance para configurar fácilmente.
audios/chunk2_1_20200504_211020.wav,La ventanilla de franqueo mi hermana la segunda obsequia un globo de colores a cada comprador de estampillas.
audios/chunk2_1_20200504_211029.wav,"Habla en argentino, exelencia, en argentino y porque no entiendo nada."
audios/chunk2_2_20200504_211044.wav,La Maga sin saber que era mi espía y mi testigo admirando enormemente mis conocimientos diversos.
audios/chunk30_3_20200504_211018.wav,No fuese que algún pobre diablo se le ocurriera jobar y se metiera en la casa.
audios/chunk32_2_20200504_211018.wav,Y poco a poco empezábamos a no pensar.
audios/chunk3_0_20200504_211018.wav,"Guarda, buenos recuerdos de nuestros bisabuelos el abuelo paterno nuestros padres y toda la infancia."
audios/chunk3_1_20200504_211044.wav,eran un café de la juzgado me Sevilla
audios/chunk3_2_20200504_211037.wav,convencido ya de que
audios/chunk3_3_20200504_211018.wav,La puerta de roble creo haberlo dicho y gamacisa en la cocina y el baño que quedaban tocando la parte tomada.
audios/chunk4_1_20200504_211029.wav,"Es lástima, dijo el hombre mientras se los llevaban en realidad."
audios/chunk4_3_20200504_211018.wav,Podríamos hablar en voz más alta o Irene cantaba canciones de cuna.
audios/chunk5_0_20200504_211018.wav,"Lo que era una locura, pues en esa casa podían vivir 8 personas sin estorbarse."
audios/chunk5_2_20200504_211018.wav,Han tomado la parte del fondo.
audios/chunk6_0_20200504_211020.wav,"Estamos seguros de nuestra popularidad, pues la gente se habría de otros barrios."
audios/chunk6_0_20200504_211044.wav,Pues entonces yo juntaba alambres y cajones vacíos en las calles de la madrugada y fabricaba móviles perfiles que giraban sobre las chimeneas.
audios/chunk6_1_20200504_211018.wav,Como no acordarme de la distribución de la casa el comedor una sala con gobelinos.
audios/chunk6_2_20200504_211018.wav,dejo caer el tejido
audios/chunk6_3_20200504_211018.wav,Muy pocas veces permitía muchas y el silencio.
audios/chunk7_0_20200504_211038.wav,el Pacífico las cosas ocurren casi siempre en un patio con macetas y música de radio
audios/chunk7_1_20200504_211029.wav,"Pero como no acepta el negocio, como no va a aprender por adelantado esas palabras cuando llegue el momento en que quieran votar por primera vez y naturalmente no podrá decirlas porque no podré decir las si son las que he de querer decir pregunto el tiranuelo."
audios/chunk7_2_20200504_211018.wav,Y me miró con sus graves ojos cansados.
audios/chunk8_3_20200504_211018.wav,"Entonces la casa se ponía callada y a media luz hasta pizza, vamos más despacio para no molestar nos yo creo que era por eso que de noche cuando Irene empezaba a soñar en altavoz, me desvelaba enseguida."
audios/chunk9_0_20200504_211044.wav,"Hacíamos el amor con un virtuosismo desapegado y crítico, pero después caíamos en silencios terribles y la espuma de los vasos de cerveza se iba poniendo como esto para sentir contraía mientras nos mirabamos y sentíamos que eso era el tiempo."
audios/chunk9_1_20200504_211018.wav,Avanzando por el pasillo se franqueaba la puerta de roble y más allá empezaba el otro lado de la casa.
audios/chunk0_0_20200504_211020.wav,Aquí hay un texto sobre esa familia.
audios/chunk0_0_20200504_211038.wav,conducta en los velorios
audios/chunk0_1_20200504_211018.wav,"Vale, Irene que pensaba hacer con ellas, no necesitábamos ganarnos la vida."
audios/chunk0_1_20200504_211020.wav,Su correspondencia y hacer giros a Purmamarca y otros lugares igualmente absurdos.
audios/chunk0_1_20200504_211025.wav,cinco objetos perdidos
audios/chunk0_1_20200504_211029.wav,un destino histórico objetos perdidos
audios/chunk0_1_20200504_211037.wav,liga de la primera escaramuza
audios/chunk0_3_20200504_211018.wav,estación caer el cobertor puesto dormitorios tenía en el living de por medio pero de noche se escuchaba cualquier cosa en la casa nos oíamos respirar toser
