file path,transcript
audios/0003_0052.wav,Banco la toma con los que se quedan. No lleno la boca con lo que se pue
audios/0003_0053.wav,pueda No nos tumba nada vinimos a dar pelea
audios/0003_0054.wav,Nunca nos costó un carajo nadar contra la marea
audios/0003_0055.wav,Eyou Rom
audios/0003_0056.wav,man recién
audios/0003_0057.wav,entero Que no puedo delirar que me ten
audios/0003_0058.wav,me tengo que encerrar en un flash elemental raper
audios/0003_0059.wav,"ero No quiero, yo vuelo"
audios/0003_0060.wav,más allá de la gilada que impusieron.
audios/0003_0061.wav,Acá la industria nacional por picarla en un penal todo
audios/0003_0062.wav,mal Reyes del potre
audios/0003_0066.wav,Esta es mi sed en el game es que nací ds3
audios/0003_0067.wav,Joven bandido sin ley
audios/0003_0069.wav,Esta es mi sed en el game es que nací ds3
audios/0003_0070.wav,Joven bandido sin ley
audios/0003_0002.wav,Fakes viste en mis textos
audios/0003_0003.wav,Te fuiste cuando entendiste
audios/0003_0004.wav,Que no resisten a la bocha la desvisten mis pies
audios/0003_0005.wav,Los veo atados a ese caro
audios/0003_0006.wav,Sujetados al teclado y no a su estado mental
audios/0003_0007.wav,Les va atormentar el factor que traen
audios/0003_0008.wav,Bati y Ronaldo acabaron de
audios/0003_0009.wav,entrar dos en tu cancha tres de
audios/0003_0010.wav,Freestaleos Puros. Mis rapeos Crudos
audios/0003_0011.wav,Que escuchen esta mierda mientras les pateamos el culo
audios/0003_0012.wav,Zigzagueo en el humo hasta que taggeo el muro
audios/0003_0013.wav,Ataco con verdades asi te masacro
audios/0003_0014.wav,humor en mi circo el verso se retuerce en vivo
audios/0003_0015.wav,Cada vez que escribo activo mi sexto sentido
audios/0003_0016.wav,Rivales elimino solo con tomas de aikido
audios/0003_0017.wav,Underground lesson
audios/0003_0018.wav,Mi boca es una Desert Eagle
audios/0003_0020.wav,"Cual hay, entramo a lo patada samurai. Duo bien jodido"
audios/0003_0021.wav,"Como el Indio con Sky, Lio Messi pa' Roman"
audios/0003_0022.wav,Nos sale bien pesado no tenemos versión light
audios/0003_0023.wav,"Una cuota de ego, pero el doble de huevos"
audios/0003_0024.wav,Pa reírnos de lo malo y que se nos vaya el mie
audios/0003_0025.wav,"Mostrando trucos nuevos, los educo en el juego"
audios/0003_0026.wav,Quedaron como nenes están contando con los
audios/0003_0027.wav,dedos trampa de barrio meto aire en la bombucha
audios/0003_0028.wav,Nos sale todo bien corte cantando en la 
audios/0003_0029.wav,"ducha fuck para los fachos, piedrazo pa la patrulla"
audios/0003_0030.wav,"Llegaron los leales, los wachos hijos de p..."
audios/0003_0031.wav,Estoy volando como un índigo. Flotando 
audios/0003_0032.wav,Se sabe quién lo trae. Goles olímpicos
audios/0003_0033.wav,Que me escapo de los dígitos. Extractos de lo vivido
audios/0003_0034.wav,Pinto de cuadro mi retrato 
audios/0003_0035.wav,mimico es verídico. Que entre el mic y yo
audios/0003_0036.wav,Hay un espacio de creación. Llamado jeroglífico
audios/0003_0037.wav,Etéreo químico que me vio y no me elimino
audios/0003_0038.wav,Detrás de las datas que atrapan
audios/0003_0039.wav, lo rítmico is back the black mind. Libero onelines porque no
audios/0003_0042.wav,"“Se me cayó en el ángulo,. wacho "
audios/0003_0043.wav,"esta es mi sed en el game, es que nací ds3"
audios/0003_0044.wav,Joven bandido sin ley
audios/0003_0045.wav,DRAMA.
audios/0003_0046.wav,Esta es mi sed en el game es que nací ds3
audios/0003_0047.wav,Joven bandido sin ley
audios/0003_0048.wav,DRAMA.
audios/0003_0049.wav,Estoy demasiado loco para que me entiendan la mierda que traigo
audios/0001_0059.wav,"Cierto. Sale el sol, se baila malambo. Pintó el calorcito, por eso traje unos mangos, yee"
audios/0001_0060.wav,"Y eso de ahogar las penas, lo hacemo' escabiando. Nunca nos sale bien, por eso terminan flotan"
audios/0001_0061.wav,"Ando. Miedo, tienen los que no caminan. Juego, a caerme para arriba. Fue"
audios/0001_0062.wav,"Ego, para quemar tu mentira. Y no me preguntes lo que hice porque ya no"
audios/0001_0063.wav,"O se. No quiero caer, hoy salgo a matar. No pienso volver, a quedarme atrás"
audios/0001_0064.wav,"No me digas na', que voy para allá. Que voy para arriba y no pienso mirar"
audios/0001_0065.wav,Hoy nos vamos a escapar pa'delante y sin mirar. ¿Cuántas vueltas vamo' a dar hasta encontrarnos de nuev?
audios/0001_0066.wav,Hoy nos vamos a escapar pa'delante y sin mirar. ¿Cuántas vueltas vamo' a dar hasta encontrarnos de nue?
audios/0001_0067.wav,"Evo. Y no sé cómo hacer para decirte que te vi. Y qué sentí, para decirte que"
